Pane,"Cumulative biomass",,,,,,,,,,,,,,,,,,,,,
Data,"1: Seabirds","2: Whales","3: Seals","4: JuvRoundfish1","5: AduRoundfish1","6: JuvRoundfish2","7: AduRoundfish2","8: JuvFlatfish1","9: AduFlatfish1","10: JuvFlatfish2","11: AduFlatfish2","12: OtherGroundfish","13: Foragefish1","14: Foragefish2","15: OtherForagefish","16: Megabenthos","17: Shellfish","18: Macrobenthos","19: Zooplankton","20: Phytoplankton","21: Detritus","22: Discards"
24.75,0.0149495061486959,0.454281240701675,0.0250118467956781,0.130366772413254,1.38945019245148,1.24350917339325,5.54518508911133,0.069855660200119,5.76627349853516,0.0964438170194626,0.739037692546844,7.41022109985352,5.10474634170532,4.703284740448,5.08834314346313,19.7863636016846,6.99944448471069,17.3971920013428,22.9971237182617,10.0009860992432,0,0
24.8333333333333,0.0149495182558894,0.454280942678452,0.0250118859112263,0.130366742610931,1.38944983482361,1.24350917339325,5.54518461227417,0.0698556676506996,5.76627397537231,0.096443772315979,0.7390376329422,7.41022062301636,5.10474586486816,4.70328426361084,5.08834362030029,19.7863636016846,6.99944448471069,17.3971920013428,22.9971237182617,10.0009860992432,0,0
24.9166666666667,0.0149495303630829,0.454280644655228,0.0250119250267744,0.130366712808609,1.38944935798645,1.24350917339325,5.54518413543701,0.0698556676506996,5.76627397537231,0.0964437425136566,0.7390376329422,7.4102201461792,5.10474538803101,4.70328378677368,5.08834457397461,19.7863636016846,6.99944448471069,17.3971920013428,22.9971237182617,10.0009860992432,0,0
25,0.0149495424702764,0.454280346632004,0.0250119641423225,0.130366683006287,1.38944900035858,1.24350905418396,5.54518365859985,0.0698556751012802,5.76627445220947,0.0964437052607536,0.7390376329422,7.4102201461792,5.10474491119385,4.70328330993652,5.08834552764893,19.7863636016846,6.99944448471069,17.3971920013428,22.9971237182617,10.0009860992432,0,0
25.0833333333333,0.0149495545774698,0.45428004860878,0.0250120032578707,0.130366653203964,1.38944852352142,1.24350881576538,5.54518365859985,0.0698556825518608,5.76627492904663,0.0964436680078506,0.7390376329422,7.4102201461792,5.10474443435669,4.70328283309937,5.08834600448608,19.7863636016846,6.99944400787354,17.3971920013428,22.9971237182617,10.0009860992432,0,0
25.1666666666667,0.0149495666846633,0.454279750585556,0.0250120423734188,0.130366623401642,1.38944804668427,1.24350881576538,5.54518270492554,0.0698556825518608,5.76627492904663,0.0964436307549477,0.7390376329422,7.4102201461792,5.10474395751953,4.70328235626221,5.08834648132324,19.7863636016846,6.99944400787354,17.3971920013428,22.9971237182617,10.0009860992432,0,0
25.25,0.0149495787918568,0.454279452562332,0.0250120814889669,0.130366593599319,1.3894476890564,1.24350869655609,5.54518222808838,0.0698556900024414,5.76627540588379,0.0964436009526253,0.739037692546844,7.4102201461792,5.10474348068237,4.70328187942505,5.0883469581604,19.7863636016846,6.99944400787354,17.3971920013428,22.9971237182617,10.0009860992432,0,0
25.3333333333333,0.0149495908990502,0.454279154539108,0.0250121187418699,0.130366563796997,1.38944721221924,1.2435085773468,5.54518175125122,0.069855697453022,5.76627588272095,0.0964435636997223,0.739037692546844,7.4102201461792,5.10474300384521,4.70328140258789,5.08834743499756,19.7863636016846,6.99944353103638,17.3971939086914,22.9971237182617,10.0009860992432,0,0
25.4166666666667,0.0149496020749211,0.454278856515884,0.0250121559947729,0.130366533994675,1.38944673538208,1.2435085773468,5.54518127441406,0.0698557049036026,5.76627588272095,0.0964435338973999,0.739037752151489,7.4102201461792,5.10474252700806,4.70328092575073,5.08834791183472,19.7863636016846,6.99944353103638,17.3971939086914,22.9971237182617,10.0009860992432,0,0
25.5,0.014949613250792,0.454278558492661,0.0250121932476759,0.130366519093513,1.38944625854492,1.2435085773468,5.5451807975769,0.0698557123541832,5.76627635955811,0.0964434966444969,0.739037752151489,7.4102201461792,5.1047420501709,4.70328092575073,5.08834838867188,19.7863636016846,6.99944305419922,17.3971939086914,22.9971237182617,10.0009860992432,0,0
