EwE version,"6.4.11414.0 (compiled 10/10/2014)"
Date,"7/24/2015 3:59:21 PM"
ModelName,REcosystem
EcosimScenario,"Double F on RF1"
TimeSeries,(none)
StartYear,0

Data, Biomass

Seabirds,Whales,Seals,JuvRoundfish1,AduRoundfish1,JuvRoundfish2,AduRoundfish2,JuvFlatfish1,AduFlatfish1,JuvFlatfish2,AduFlatfish2,OtherGroundfish,Foragefish1,Foragefish2,OtherForagefish,Megabenthos,Shellfish,Macrobenthos,Zooplankton,Phytoplankton,Detritus,Discards
0.01493703, 0.4543699, 0.02499883, 0.1304327, 1.39045, 1.243612, 5.562313, 0.06986304, 5.766536, 0.09646221, 0.7399282, 7.397421, 5.099416, 4.699455, 5.094366, 19.762, 7.000173, 17.39734, 22.99821, 10.00063, 3636.442, 1.218343
0.01493701, 0.4543698, 0.02499896, 0.1304323, 1.39044, 1.243569, 5.562902, 0.06986225, 5.76652, 0.0964707, 0.7399237, 7.397124, 5.099336, 4.699378, 5.094167, 19.76155, 7.00018, 17.39719, 22.99823, 10.00062, 3636.444, 1.218338
0.01493699, 0.4543698, 0.02499908, 0.1304319, 1.390429, 1.243532, 5.563493, 0.06986154, 5.766504, 0.0964791, 0.7399191, 7.396803, 5.099247, 4.699295, 5.093976, 19.76106, 7.000188, 17.39704, 22.99825, 10.00061, 3636.445, 1.21833
0.01493696, 0.4543697, 0.0249992, 0.1304314, 1.390416, 1.243497, 5.564084, 0.06986088, 5.766488, 0.09648738, 0.7399144, 7.396459, 5.099151, 4.699203, 5.093792, 19.76052, 7.000197, 17.3969, 22.99828, 10.0006, 3636.445, 1.21832
0.01493693, 0.4543695, 0.02499932, 0.1304308, 1.390403, 1.243463, 5.564676, 0.06986028, 5.76647, 0.09649555, 0.7399095, 7.396091, 5.099047, 4.699105, 5.093617, 19.75994, 7.000206, 17.39677, 22.9983, 10.0006, 3636.446, 1.218309
0.0149369, 0.4543694, 0.02499944, 0.1304302, 1.390388, 1.243427, 5.56527, 0.06985973, 5.766452, 0.09650356, 0.7399045, 7.395701, 5.098937, 4.699, 5.093451, 19.75932, 7.000216, 17.39664, 22.99833, 10.00059, 3636.447, 1.218296
0.01493687, 0.4543693, 0.02499956, 0.1304295, 1.390372, 1.243386, 5.565864, 0.0698592, 5.766434, 0.09651142, 0.7398993, 7.395289, 5.098819, 4.698889, 5.093292, 19.75866, 7.000226, 17.39652, 22.99835, 10.00058, 3636.447, 1.218282
0.01493683, 0.4543692, 0.02499968, 0.1304287, 1.390355, 1.243339, 5.56646, 0.06985871, 5.766415, 0.09651911, 0.7398941, 7.394856, 5.098695, 4.698772, 5.093143, 19.75796, 7.000237, 17.39641, 22.99838, 10.00057, 3636.447, 1.218266
0.01493679, 0.4543691, 0.0249998, 0.1304279, 1.390337, 1.243284, 5.567056, 0.06985825, 5.766396, 0.09652662, 0.7398888, 7.394403, 5.098565, 4.69865, 5.093003, 19.75723, 7.000249, 17.39631, 22.99841, 10.00056, 3636.447, 1.218248
0.01493675, 0.4543689, 0.02499992, 0.1304271, 1.390318, 1.243221, 5.567652, 0.06985781, 5.766376, 0.09653394, 0.7398835, 7.393929, 5.098429, 4.698523, 5.092874, 19.75646, 7.000262, 17.39622, 22.99844, 10.00055, 3636.447, 1.218229
0.0149367, 0.4543688, 0.02500003, 0.1304261, 1.390298, 1.243149, 5.568248, 0.06985739, 5.766357, 0.09654106, 0.7398781, 7.393438, 5.098288, 4.698391, 5.092754, 19.75567, 7.000275, 17.39613, 22.99847, 10.00054, 3636.447, 1.218208
0.01493665, 0.4543687, 0.02500015, 0.1304252, 1.390276, 1.243065, 5.568844, 0.06985699, 5.766337, 0.09654799, 0.7398726, 7.392928, 5.098142, 4.698255, 5.092645, 19.75485, 7.000289, 17.39606, 22.9985, 10.00052, 3636.447, 1.218186
0.0149366, 0.4543686, 0.02500026, 0.1304241, 1.390254, 1.24297, 5.569439, 0.06985662, 5.766318, 0.09655472, 0.7398671, 7.392401, 5.097991, 4.698114, 5.092546, 19.75401, 7.000305, 17.396, 22.99854, 10.00051, 3636.446, 1.218163
0.01493655, 0.4543685, 0.02500037, 0.1304231, 1.390231, 1.242863, 5.570033, 0.06985626, 5.766298, 0.09656124, 0.7398615, 7.391858, 5.097836, 4.69797, 5.09246, 19.75314, 7.00032, 17.39594, 22.99858, 10.0005, 3636.446, 1.218139
0.01493649, 0.4543684, 0.02500048, 0.1304219, 1.390207, 1.242744, 5.570625, 0.06985593, 5.766279, 0.09656756, 0.739856, 7.391299, 5.097676, 4.697823, 5.092384, 19.75225, 7.000337, 17.39589, 22.99861, 10.00049, 3636.445, 1.218113
0.01493642, 0.4543682, 0.02500059, 0.1304208, 1.390183, 1.242612, 5.571215, 0.06985561, 5.766259, 0.09657367, 0.7398505, 7.390726, 5.097513, 4.697673, 5.092321, 19.75134, 7.000355, 17.39585, 22.99865, 10.00048, 3636.444, 1.218086
0.01493636, 0.4543681, 0.02500069, 0.1304195, 1.390157, 1.242467, 5.571802, 0.0698553, 5.76624, 0.09657957, 0.7398449, 7.390139, 5.097347, 4.69752, 5.092269, 19.75042, 7.000373, 17.39582, 22.99869, 10.00046, 3636.443, 1.218059
0.01493629, 0.454368, 0.02500079, 0.1304183, 1.390131, 1.242309, 5.572387, 0.06985501, 5.766222, 0.09657873, 0.7398459, 7.38954, 5.097178, 4.697365, 5.09223, 19.74948, 7.000392, 17.3958, 22.99873, 10.00045, 3636.441, 1.21803
0.01493622, 0.4543679, 0.02500089, 0.1304169, 1.390104, 1.242139, 5.572968, 0.06985474, 5.766203, 0.09657414, 0.7398511, 7.388928, 5.097005, 4.697207, 5.092203, 19.74853, 7.000412, 17.39578, 22.99878, 10.00043, 3636.439, 1.218001
0.01493614, 0.4543678, 0.02500098, 0.1304156, 1.390077, 1.241958, 5.573542, 0.06985447, 5.766185, 0.09657014, 0.7398561, 7.388306, 5.096831, 4.697049, 5.092188, 19.74757, 7.000432, 17.39577, 22.99882, 10.00042, 3636.438, 1.21797
0.01493606, 0.4543676, 0.02500107, 0.1304141, 1.390049, 1.241767, 5.574109, 0.06985423, 5.766167, 0.09656665, 0.7398612, 7.387674, 5.096654, 4.696888, 5.092186, 19.7466, 7.000453, 17.39577, 22.99887, 10.00041, 3636.435, 1.217939
0.01493597, 0.4543675, 0.02500115, 0.1304127, 1.39002, 1.241568, 5.574667, 0.069854, 5.76615, 0.09656363, 0.7398664, 7.387033, 5.096476, 4.696727, 5.092197, 19.74563, 7.000475, 17.39578, 22.99891, 10.00039, 3636.433, 1.217908
0.01493589, 0.4543674, 0.02500124, 0.1304112, 1.389992, 1.241361, 5.575214, 0.06985378, 5.766133, 0.09656101, 0.7398716, 7.386384, 5.096296, 4.696566, 5.092221, 19.74465, 7.000497, 17.39579, 22.99896, 10.00037, 3636.431, 1.217875
0.0149358, 0.4543673, 0.02500131, 0.1304096, 1.389962, 1.241147, 5.575749, 0.06985359, 5.766117, 0.09655876, 0.7398769, 7.385728, 5.096116, 4.696404, 5.092257, 19.74366, 7.00052, 17.39581, 22.999, 10.00036, 3636.428, 1.217842
0.0149357, 0.4543672, 0.02500139, 0.130408, 1.389933, 1.240927, 5.576272, 0.06985341, 5.766101, 0.09655683, 0.7398822, 7.385067, 5.095934, 4.696241, 5.092307, 19.74268, 7.000544, 17.39584, 22.99905, 10.00034, 3636.426, 1.217809
0.01493561, 0.454367, 0.02500146, 0.1304064, 1.389903, 1.240702, 5.576779, 0.06985325, 5.766086, 0.09655517, 0.7398877, 7.3844, 5.095753, 4.69608, 5.092368, 19.74169, 7.000567, 17.39587, 22.9991, 10.00033, 3636.423, 1.217775
0.0149355, 0.4543669, 0.02500152, 0.1304048, 1.389873, 1.240472, 5.577272, 0.06985311, 5.766071, 0.09655376, 0.7398932, 7.38373, 5.095572, 4.695919, 5.092443, 19.74071, 7.000592, 17.39591, 22.99915, 10.00031, 3636.42, 1.217741
0.0149354, 0.4543668, 0.02500158, 0.1304031, 1.389843, 1.240238, 5.577748, 0.06985299, 5.766057, 0.09655257, 0.7398989, 7.383058, 5.095391, 4.695759, 5.092529, 19.73974, 7.000617, 17.39596, 22.9992, 10.00029, 3636.417, 1.217706
