"","Group","PB","M0","F.dredge.o","F.dredge.sc","F.gillnet","F.longline","F.midwater","F.other","F.otter","F.pot","F.seine","M2.AmLob","M2.AtlHal","M2.AtlHer","M2.AtlMack","M2.AtlScal","M2.Bact","M2.BalWhale","M2.Blu","M2.BSB","M2.But","M2.Clams","M2.Cod","M2.Dolphins","M2.GelZoo","M2.Goose","M2.Had","M2.Illex","M2.LgPels","M2.LgSkates","M2.Loligo","M2.Macroben","M2.Megaben","M2.MesoPels","M2.Micronekton","M2.Microzoop","M2.OffHake","M2.OthDem","M2.OthFlats","M2.OthPels","M2.OthShrimp","M2.OthSquid","M2.Pol","M2.Pout","M2.Rays","M2.Red","M2.RedCrab","M2.RedHake","M2.RivHer","M2.Scup","M2.Seabirds","M2.Seals","M2.Shad","M2.Sharks","M2.SilHake","M2.SmDog","M2.SmFlats","M2.SmPels","M2.SmSkates","M2.SpDog","M2.StrBass","M2.SumFl","M2.ToothWhale","M2.Weak","M2.WhHake","M2.WinFl","M2.YTFl","M2.Zoop","M2.SmPP","M2.LgPP"
"21","Macroben",2,NA,0,NA,1.5625e-07,0,5.7625e-11,2.175e-06,9.75e-06,0,0,0.0171875,0.0001518,0.0387,0.0105745634325,0,NA,0.00075,0,0.000415,0,0,0.035569065126,0,NA,0,0.07897898061,0.02625,0,0.146197308194442,0.0599803304625,0.7,1.3,NA,0,NA,0.0002625,0.04375,0.0175,0.0016875,0.2625,0.0525,0.00091764705,0.076125,0.001911052771875,0.0009375,0.00721875,0.009,NA,0.002,0,0,0.003014614425,3.3e-05,0.01875,3.11151235423486e-05,0.0473958333333333,0.013375,0.046534224132,0.0501469525200775,0,0.00027214788,0,0.00198,0.0014625,0.015779611790021,0.0173195077949228,0.025,NA,NA
"22","Megaben",1.5,NA,5.25e-06,3.5e-07,1.13e-06,0,0,0.0008275,1.2075e-05,0.0033,0,0.01125,1.65e-05,0.0129,0.0004229825373,0,NA,0,0,0.00332,0,0,0.088922662815,0,NA,0.001493617023,0.0414980047608929,0,0,0.109299243015172,0,0.14,0.75,NA,0,NA,0.000525,0.35,0.022086454775,0.0005625,0,0,0.0019527321,0.0808024405125,0.00029400811875,0.0004925915625,0.004725,0.0387145428,NA,0.016,0,0,0,0,0.0375,0.012938225256,0.00729166666666667,0,0.117414168579881,0.275626896380714,0,0.00068438875812001,0,0.00024,0.0043886920545,0.0155303685128359,0.00526428855865528,0,NA,NA
"23","MesoPels",0.95,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Micronekton",4,NA,0,0,0,0,0,0,0,0,0,0,1.78378378378378e-05,0.906486486486486,0.144042701891351,0,NA,0.00243243243243243,0,0.000762702702702703,0.0727262877135135,0,0.0137332297783784,6.08108108108108e-05,NA,0,0.152877737478477,0.0908108108108108,0,0.136181986788649,0.2074995216,0,0,NA,0.386666666666667,NA,0.00255405405405405,0.0804054054054054,0.0331081081081081,0.039527027027027,0.260135135135135,0.181621621621622,0.0142702702702703,0.0148912735337838,0.000190707968918919,0.00181469648986487,0,0.0233513513513513,NA,0,0.000635675675675676,0.000324324324324324,0.000260125966216216,0,0.182432432432432,0,0.00472972972972973,0.0722972972972973,0.0700724860912902,0.0610598191376632,0,0.000588427848648649,6.75675675675676e-05,0.000113513513513514,0.0039527027027027,0.0165562370735551,0.0266764200836597,0,NA,NA
"25","Microzoop",10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","OffHake",0.35,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.00622285714285714,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.0112,0.00428571428571429,0,0.00188571428571429,0,0,0,0,0,0,0,0,0.00685714285714286,0,0,0,0,0,NA,NA
"27","OthDem",0.35,NA,1.13666666666667e-06,0.00235508,0.000600333333333333,0.00146333333333333,1.19666666666667e-06,0.000933333333333333,0.00519666666666667,0.000999966666666667,1.4277e-05,0,6.6e-05,0,0,0,NA,0,0.000362444883612432,0.0006396301376,0,0,0.00863096746025937,0,NA,0.009,4.549189283136e-05,0.0186666666666667,0,0.0501724974148378,0.04265267944,0,0,NA,0,NA,0.000122006934,0.067430888,0.00187925523333333,0,0,0.0373333333333333,8e-04,0,0.00031360866,5.4e-07,0,0.00126674352,NA,0,0,4e-04,0,0.000132,0.008714781,0.0011500644672,0.00777777777777778,0,0.0101392118002939,0.177471325098791,0,0,0,2e-04,0.002378885613,0,0.000793677765873231,0,NA,NA
"28","OthFlats",0.35,NA,3.81666666666667e-06,0.0234755,0.00033,1.91666666666667e-05,0.000114333333333333,0.00305,0.1165,9.66333333333333e-06,0.000153983333333333,0,5.5e-05,0,0,0,NA,0,0,0.000511067962666667,0,0,0.0133849203719048,0,NA,0,0,0,0,0.0100218092878285,0,0,0,NA,0,NA,0,0.0538776466666667,0.000595795666666667,0,0,0,0,0,0,0,0,0,NA,0,0,0.00025,0,0.00011,0,0,0,0,0.000879000471037392,0.133776609322882,0,0,0,0,0,0,0,0,NA,NA
"29","OthPels",0.45,NA,0,2.54666666666667e-05,0.234009933333333,0.000194,1.18e-08,0.00028,0.00108366666666667,6.83333333333333e-06,0,0,0,0,0,0,NA,0,0,0.000276702633333333,0,0,0.003387530012,6e-05,NA,0.00135168948,0,0,0,0.011583295428,0,0,0,NA,0,NA,0.00118332382,0.0291704583333333,0,0,0,0,8e-04,0,0,0,0,0,NA,0,0.000130666666666667,1e-04,0,0.0066,0.08452313,0,0,0,0,0.0329842162956667,0,0,6.66666666666667e-05,0,0,0,0,0,NA,NA
"30","OthShrimp",1.5,NA,6.77142857142857e-10,0,0,0,0,0,0.000110571428571429,0,2.21428571428571e-07,0,0.000282857142857143,0.0884571428571428,0.0241704307028571,0,NA,0,0,0.000878437016685714,0.0768820755828571,0,0.0079125168181439,0,NA,0,0.0107108982803964,0.04,0,0.0380975612575944,0.0913985988,0,0,NA,0,NA,0.0024,0.092606312,0.04,0.00385714285714286,0.075,0.08,0.000246138171428571,8.40336e-05,0.000134403711428571,0.000127141007142857,0,0.0157633978971429,NA,0.0137142857142857,0.000672,0,0,0,0.171428571428571,0,0.00333333333333333,0,0.0313746055155931,0.0564907865195898,0,0.000622052297142857,0,3.42857142857143e-05,0.00838713670971429,1.92527171923371e-05,0.00317422601844168,0,NA,NA
"31","OthSquid",1,NA,0,0,8e-11,0,0,5.95e-09,0.000120125,1.6125e-07,9.2e-06,0,0.000165,0,0.021149126865,0,NA,3e-04,0.00230070355634572,0.0003077969095,0,0,0.0115833683953355,0.002025,NA,0.01340773047,0,0.105,0.0021,0.0282294784339712,0.23992132185,0,0,NA,0,NA,0.0011014220175,0.032448469375,0.017856190625,0,0,0.21,0.0097144038,0,2.9400811875e-05,0,0,0.0050401554,NA,0,0.001127,0,0,0.000825,0.07867300125,0.00124235361862037,0.000729166666666667,0,0.00898129721115054,0.434365726408221,0,0.0029308233314507,0.00225,3e-05,0.001452390615,0,0,0,NA,NA
"32","Pol",0.35,NA,0,6.9155e-05,0.083055,0.0053,8.25e-05,0.0925,0.085455,3.505e-06,6.25e-07,0,0,0,0,0,NA,0,0,0,0,0,0,0.001089,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.00075,0,0.00033,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,NA,NA
"33","Pout",0.45,NA,0,0.00162857142857143,0.000257457142857143,3.77142857142857e-05,0,7.15714285714286e-07,0.00602542857142857,0.00110142857142857,1.62528571428571e-05,0,0,0,0,0,NA,0,0,0.001127137676,0,0,0.00146544112779547,0,NA,0,0,0,0,0.000259631293236171,0,0,0,NA,0,NA,0,0.118824755,0.003781705,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.00241514174385884,0.105530596902227,0,0.00149292551314286,0,0,0,0,0,0,NA,NA
"34","Rays",0.45,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.00956606236575227,0,0.004209067440931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"35","Red",0.02,NA,0,2.424e-05,0.0006772,0.0001868,0,0.00162,0.01472,8.6244e-06,3.692e-08,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,6e-04,0,0.000264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"36","RedCrab",1.5,NA,0,0.000452,0.00101333333333333,0,0,0.221333333333333,0.19677,0.6082,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"37","RedHake",0.35,NA,0,0.003775,3.5875e-05,4.375e-05,0,1.16e-06,0.076625,0.0003925,0.000374,0,0.000825,0,0,0,NA,0,0.00119509250375144,0.001192091816,0,0,0.00722647295769159,0,NA,0.01523490795,0,0,0,0.019851480662745,0,0,0,NA,0,NA,0.000789835305,0.12567233,0.01908401775,0,0,0,0.017647059,0,0,0,0,0,NA,0,0,0.000375,0,0.000165,0.0564168075,0,0,0,0.00816622119158848,0.102592671552633,0,0,0,0,0,0,0,0,NA,NA
"38","RivHer",0.42,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Scup",0.95,NA,0,0.0008535,4.5e-05,2.0075e-05,0,0.0005625,0.004075,7.15e-06,1.595e-05,0,0,0,0,0,NA,0,0,0,0,0,0,0.005445,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.0098,0.00375,0,0.00165,0,0.0032268925719067,0,0,0,0.58795388057731,0,0,0.006,0,0,0,0,0,NA,NA
"40","Seabirds",0.286,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.0282857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"41","Seals",0.05,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"42","Shad",0.42,NA,0,0,0.0004605,1.5e-09,0,0,0.0005729,0,0,0,0,0,0,0,NA,6e-04,0,0,0,0,0,9e-04,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.00392,0.012,0,0.00132,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,NA,NA
"43","Sharks",0.1,NA,0,0.00429166666666667,0.00731666666666667,0.0566666666666667,0,0.000995833333333333,0.00232916666666667,0,7.70833333333333e-05,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.0165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"44","SilHake",0.35,NA,0,0.000464,8.36e-05,6.96e-06,2.696e-08,3.936e-07,0.0434,1.392e-06,0.00018216,0,0.000132,0.028896,0.0135354411936,0,NA,0,0,0.00045538538304,0,0,0.00965269793458415,8.712e-05,NA,0.0041210198496,0.000784991253848751,0,0,0.0181038942865704,0,0,0,NA,0,NA,0.0009411135552,0.0480074952,0.00726489008,0.00126,0,0,0.006118376352,0,0,9.31804e-06,0,0.001175202816,NA,0,0.0001568,6e-05,0,2.64e-05,0.0672223968,0,0,0,0.00238910553522883,0.054347585233439,0,0,9.6e-05,0,0.0026999823708,0,0.000476206579521221,0,NA,NA
"45","SmDog",0.2,NA,0,9.95944168928759e-05,0.00201325061858237,0,0,0,0.00534345697590473,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.00314371942018382,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.00216509601941035,0,0.000952642248540552,0,0,0,0,0,0,0,0,0.00346415363105655,0,0,0,0,0,NA,NA
"46","SmFlats",0.35,NA,0,0.00228,6.16e-05,0,0,0.00204,3.87e-05,0,0,0,0.000264,0,0,0,NA,0,0,0.0007547063176,0,0,0.00804594610848199,0,NA,0.00648,0,0,0,0.029016398296344,0,0,0,NA,0,NA,0.00030760716,0.079562413,0.0132063134,0,0,0,0.024,0,0,0,0,0.00122478144,NA,0,0,0,0,0,0.02197194,0,0,0,0.0114035156471443,0.253573683174253,0,0.00516277156021632,0,0,0.00664176006,0,0,0,NA,NA
"47","SmPels",1.5,NA,6.45e-05,0.02925,0.005265,5.5e-05,2.3e-05,0.00083,0.04895,3.525e-06,1.25e-05,0,0.000264,0.03612,0.033838602984,0,NA,3e-04,0.000245128230954327,0.0003757469926,0,0,0.0116594059102438,0.001845,NA,0,0.0142787067853648,0.0105,0.03066,0.156374488278,0.03198950958,0,0,NA,0,NA,0.00063,0.03961188175,0.0054053685,0.001575,0,0.021,0.0096,0,2.35206495e-05,0.000169491775,0,0.0034828044,NA,0,0.004704,0.00231,0,0.00033,0.045,0,0.000583333333333333,0,0.00721441870246698,0.098952648887,0.000174603176,0.00217718304,0.00205,2.4e-05,0,0,0,0,NA,NA
"48","SmSkates",0.35,NA,9.05140265807838e-07,0.117565943647869,0.00270768455583541,0.000187217046432049,2.6071134151901e-06,0.000187990670590859,0.12512586932756,2.51427851613288e-05,5.45405031961133e-05,0,0,0,0,0,NA,0,0,8.63902446637229e-05,0,0,7.45319985920009e-05,0,NA,0.00355537907194262,0,0,0,0.00177436034535705,0,0,0,NA,0,NA,0,0.00910740531093465,0.00111649802202831,0,0,0,0,0,0,0,0,0,NA,0,0,0.000116043623821518,0,5.10591944814678e-05,0,0,0,0,0,0.00295483681446964,0,0,0,0,0,0,0,0,NA,NA
"49","SpDog",0.2,NA,2.85186908257768e-08,6.3076633826424e-05,0.00444556062872403,0.00199630835780438,0,2.66733637723442e-05,0.00348599056093907,2.40731301970528e-06,1.38516958910847e-05,0,0,0,0,0,NA,0,0,0,0,0,0,1.82687378289829e-05,NA,0.000137672918395111,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1.25817753643133e-05,0,5.53598116029785e-06,0,0,0,0,0,0,0,0,2.01308405829013e-05,0,0,0,0,0,NA,NA
"50","StrBass",0.15,NA,0,0.00155,0.001665,0,0,2.4825e-05,0.04204125,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.00375,0,0.00165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
