Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Discards,Offal,Pelagic Detritus,Benthic Detritus,Outside Detritus,Halibut HookLine,Crab Pots,Herring Fleet,Salmon Fleet,Subsistence FIshery,Flatfish Trawl,Other Groundfish Trawl,P. Cod HookLine,P. Cod Pot,P. Cod Trawl,Pollock Trawl,Rockfish Trawl,Sablefish HookLine,shrimp trawl,Halibut HookLine,Crab Pots,Herring Fleet,Salmon Fleet,Subsistence FIshery,Flatfish Trawl,Other Groundfish Trawl,P. Cod HookLine,P. Cod Pot,P. Cod Trawl,Pollock Trawl,Rockfish Trawl,Sablefish HookLine,shrimp trawl
Lg. Sculpins,0,0.08888517,0.4,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,2.3669E-06,0.000028143,0,1.6285E-06,1.271E-07,0.000103893,5.14738E-05,0.000005801,0,0,0.000242757,0,0,0,0,0.000940051,0.000184077,0.000209797,0.000189285,0.002065872,0.000200612,0.000220999,1.6991E-06,0
Other sculpins,0,,0.4,2,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misc. fish shallow,0,,0.4,2,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,1.5109E-06,2.38542E-05,0,2.32964E-05,1.3293E-06,2.70273E-05,2.06976E-05,0.000197473,2.44897E-05,0,0,0,0,0,0,0.000229935,0.000136103,3.34742E-05,4.19732E-05,0.000213153,1.37179E-05,0.000163724,8.77522E-05,0
Octopi ,0,,0.8,3.65,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,2.3994E-06,0,1.576E-07,0.000155593,4.8843E-06,0.000002023,0.000000069,6.27E-08,0,0,0,0,0,0,2.21974E-05,4.129E-07,1.64455E-05,9.02991E-05,2.10521E-05,6.1636E-06,0.000006443,4.8599E-06,0
Squids,0,,3.2,10.67,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0.000003052,0.000000887,0,0,1.741E-07,0.000111288,0.000003934,0,0,0,0,0,0,0,7.98617E-05,3.1E-09,0,0,3.8416E-06,5.86471E-05,8.16431E-05,0.000001775,0
Salmon returning,0,0.8566338,1.815861,11.8269,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0.29042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02904201,0,5.17159E-05,1.6524E-06,9E-10,0,4.45542E-05,0.0005198,0.000109422,1.7308E-06,0
Salmon outgoing,0,0.01713268,1.641523,14.38647,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathylagidae,0,,0.8,3.65,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myctophidae,0,,0.8,3.65,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7E-09,0,0
Capelin,0,,0.8,3.65,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,2.7179E-06,5.76E-08,0,0,0,0,0.000167172,3.7E-09,0,0,0,0,0,0,0,4.3712E-06,5.5E-09,0,2.144E-07,1.744E-07,1.58418E-05,4.35E-08,0,0
