Group,Transient Killers,Sperm and Beaked Whales,Resident Killers,Porpoises,Gray Whales,Humpbacks,Fin Whales,Sei whales,Right whales,Minke whales,Sea Otters,N. Fur Seal_Juv,N. Fur Seal,Steller Sea Lion_Juv,Steller Sea Lion,Resident seals,Shearwater,Murres,Kittiwakes,Auklets,Puffins,Fulmars,Storm Petrels,Cormorants,Gulls,Albatross Jaeger,Sleeper shark,Salmon shark,Dogfish,W. Pollock_Juv,W. Pollock,P. Cod_Juv,P. Cod,Herring_Juv,Herring,Arrowtooth_Juv,Arrowtooth,P. Halibut_Juv,P. Halibut,YF. Sole,FH. Sole_Juv,FH. Sole,N. Rock sole,S. Rock sole,AK Plaice,Dover Sole,Rex Sole,Misc. Flatfish,Other skates,Longnose skate,Big skate,Sablefish_Juv,Sablefish,Eelpouts,Grenadiers,Misc. fish deep,POP_Juv,POP,Sharpchin Rock,Northern Rock,Dusky Rock,Shortraker Rock,Rougheye Rock,Shortspine Thorns_Juv,Shortspine Thorns,Other Sebastes,Atka mackerel_Juv,Atka mackerel,Greenlings,Lg. Sculpins,Other sculpins,Misc. fish shallow,Octopi ,Squids,Salmon returning,Salmon outgoing,Bathylagidae,Myctophidae,Capelin,Sandlance,Eulachon,Oth. managed forage,Oth. pelagic smelt,Bairdi,King Crab,Misc. crabs,Pandalidae,NP shrimp,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Hermit crabs,Misc. Crustacean,Benthic Amphipods,Anemones,Corals,Hydroids,Urochordata,Sea Pens,Sponges,Bivalves,Polychaetes,Misc. worms ,Scyphozoid Jellies,Fish Larvae,Chaetognaths,Euphausiids,Mysids,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Pelagic microbes,Benthic microbes,Macroalgae,Lg Phytoplankton,Sm Phytoplankton,Outside Production
Transient Killers,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sperm and Beaked Whales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Killers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porpoises,0.02694094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Whales,0.09906727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humpbacks,0.3188029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fin Whales,0.4755796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sei whales,0.0113199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right whales,0.006353188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minke whales,0.004222229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea Otters,0.006168914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Fur Seal_Juv,0.000527217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Fur Seal,0.01616003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steller Sea Lion_Juv,0.000497694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steller Sea Lion,0.02847637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident seals,0.005883746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shearwater,,,,,,,,,,,,,,7.70E-06,7.66E-06,,,,,,,2.32E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murres,,,,,,,,,,,,,,0.00016106,0.000160284,,,,,,,0.00048473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kittiwakes,,,,,,,,,,,,,,2.96E-05,2.95E-05,,,,,,,8.92E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auklets,,,,,,,,,,,,,,9.99E-06,9.94E-06,,,,,,,3.01E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puffins,,,,,,,,,,,,,,0.00021615,0.000215108,,,,,,,0.00065053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulmars,,,,,,,,,,,,,,2.74E-05,2.72E-05,,,,,,,8.24E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Petrels,,,,,,,,,,,,,,7.70E-06,7.66E-06,,,,,,,2.32E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cormorants,,,,,,,,,,,,,,1.16E-05,1.16E-05,,,,,,,3.50E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulls,,,,,,,,,,,,,,1.90E-05,0.000018883,,,,,,,5.71E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albatross Jaeger,,,,,,,,,,,,,,7.70E-06,7.66E-06,,,,,,,2.32E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeper shark,,0.00041419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dogfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0063607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. Pollock_Juv,,,0.02592673,,,0.02613044,0.01337342,0.007015951,,0.03928932,0.009294068,0.01060354,,0.05047082,,0.05340814,,0.2704431,0.2001595,0.002277299,0.09995147,0.2622128,0.01459122,0.000589693,0.001716613,0.03559238,,,0.01458068,0.01646116,0.009383623,0.002114523,0.009382493,,,0.003809081,0.1010985,,0.00144808,,,0.003740663,,0.004982946,,,,,0.000728626,0.01657932,0.004939598,0.009517276,0.01999995,0.000013787,,,,,,,,,0,,0.000149841,0.1453143,,,0.04730773,0.09529794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,
W. Pollock,,,0.1808729,,,,,,,,0.06483831,0.07397357,0.08457712,0.3521001,0.4025798,0.3725919,,,,,,,,,,,0.0522,,0.1017193,,0.008103676,,0.1879045,,,,0.1392445,,0.4826187,,,,,,,,,,0.005929286,0.1156625,0.03446015,,0.1885395,0.003942342,,,,,,,,,,,,,,,,0.03452072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Cod_Juv,,,0.00425,,,,,,,,0.00152349,0.000395219,,0.00200088,,0.001372879,,0.1993107,0.03281029,0.000373296,0.01638411,0.0429821,0.002391802,9.67E-05,0.000281389,0.005834328,,,0.002390075,,4.00E-05,,,,,,0.006106962,,,,,,,0.004107947,,,,,9.67E-05,0.002717693,0.000809702,,0.004702806,,,,,,,,,,,,,,,,,4.24E-06,0.04028247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Cod,,0.03262016,0.04528017,,,,,,,,,0.004210801,0.004321106,0.02131806,0.0233011,0.01462712,,,,,,,,,,,,,0.02546467,,1.07E-05,,5.41E-05,,,,0.000120813,,0.01364637,,,,,,,,,,0.001030284,0.02895522,0.008626841,,,,,,,,,,,,,,,,,,,0.000908861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herring_Juv,,,0.01411095,,,0.01422182,0.007278652,0.00381852,,0.02138371,0.005058414,0.01131603,,0.01395021,,0.1052779,,0.001028268,0.05719344,,,,,0.1498501,,0.01937161,,,,,,,0.000474559,,,,0.06587644,,,,,,,,,,,,0.000321074,0.009023502,0.002688438,,0.03558156,,,,,,,,,,0,,,,,,,0.00469155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,
Herring,,,0.02931648,,,,,,,,0.01050921,0.02350984,0.03482587,0.02898254,0.04286035,0.2187221,,,,,,,,,,,,0.004,0.1442,,0.000210356,,,,,,0.007866145,,0.00734439,,,,,,,,,,0.000667053,0.01874696,0.005585418,,1.88E-05,0.000741705,,,,,,,,,,,,,,,,0.002015941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrowtooth_Juv,,,0.002275829,,,,,,,,,0.000211639,,0.001469275,,8.52E-05,,,,,,,,,,,0.000234479,,0.000793827,0.001765,0.000497266,,0.000126523,,,,0.003033616,,0.002301785,,,,,,,,,,5.18E-05,0.0018338,0.001319211,,,,,,,0.003138246,,0.001303034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrowtooth,,,0.1878363,,,,,,,,,0.01746772,0.0179253,0.1212671,0.1229586,0.007030064,,,,,,,,,,,0.6720999,,0.06551874,,8.19E-05,,0.01338887,,,,0.003744632,,0.03463225,,,,,,,,,,0.004273938,0.1513533,0.1088815,,,,,,,,,,,,,,,,,,,0.000358721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Halibut_Juv,,,0.000137067,,,,,,,,4.91E-05,1.27E-05,,0.00001674,,0.00000513,,,,,,,,,,,1.41E-05,0.01,4.78E-05,,,,6.93E-06,,,,1.24E-05,,1.78E-05,,,,,0.000106552,0.000067773,,,,3.12E-06,0.000110445,7.95E-05,,,,,,,,,,,,,,,,,6.73E-05,,1.69E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Halibut,,,0.04950467,,,,,,,,,0.004603657,0.004724253,0.006046003,0.00606388,0.001852789,,,,,,,,,,,0.005100471,0.1,0.01726761,,,,3.56E-06,,,,,,2.16E-06,,,,,,,,,,0.001126406,0.0398895,0.02869596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YF. Sole,,,0.007749095,,,,,,,,,0.000720622,0.0007395,0.000833662,0.000829642,0.000290022,,,,,,,,,,,0.00079839,,0.002702944,,,,,,,,1.42E-05,,4.56E-05,,,,,,,,,,0.000176319,0.006244006,0.004491854,,,,,,,,,,,,,,,,,,,0.02606634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH. Sole_Juv,,,0.003142808,,,,,,,,,0.000292264,,0.000496059,,0.000117625,,,,,,,,,,,0.000323804,,0.001096236,,0.00041055,,0.002318016,,,,0.002148023,,0.000495349,,,,,,,,,,0.00007151,0.002532388,0.001821765,,,7.38E-06,,,,,,,,,,,,,,,,0.000178445,0.009723351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH. Sole,,,0.02408559,,,,,,,,,0.002239825,0.002298499,0.003801659,0.004066009,0.000901441,,,,,,,,,,,0.009799998,,0.008401242,,0.000148695,,0.005086829,,,,0.000225024,,0.004311723,,,,,,,,,,0.000548032,0.01940751,0.0139615,,,,,,,,,,,,,,,,,,,0.001816331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Rock sole,,,0.006830548,,,,,,,,,0.000635203,0.000651842,0.003163581,0.00315397,0.000255644,,,,,,,,,,,0.000703752,,0.002382548,,,,,,,,,,,,,,,,,,,,0.000155419,0.005503868,0.003959408,,,,,,,,,,,,,,,,,,,0.004812214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Rock sole,,,0.01146901,,,,,,,,,0.001066553,0.001094492,0.005311891,0.005295754,0.000429245,,,,,,,,,,,0.001181653,,0.004000478,,,,,,,0.000006102,,,6.05E-05,,,,,,,,,,0.000260961,0.009241411,0.006648147,,,,,,,,,,,,,,,,,,,0.004812214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK Plaice,,,0.000477735,,,,,,,,,4.44E-05,4.56E-05,7.54E-05,8.06E-05,0.00001788,,,,,,,,,,,4.92E-05,,0.000166638,,,,,,,,,,,,,,,,,,,,1.09E-05,0.000384946,0.000276925,,,,,,,,,,,,,,,,,,,0.001178523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover Sole,,,0.01037367,,,,,,,,,0.000964694,0.000989964,0.001637376,0.001751231,0.000388251,,,,,,,,,,,0.001068801,,0.003618418,,0.000783733,,,,,,,,0.002954634,,,,,,,,,,0.000236038,0.008358819,,,,,,,,,,,,,,,,,,,,,,0.000782896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rex Sole,,,0.01036675,,,,,,,,,0.000964049,0.000989304,0.001636283,0.001750062,0.000387992,,,,,,,,,,,0.001068087,,0.003616001,,,,6.81E-05,,,,0.000575665,,,,,,,,,,,,0.00023588,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc. Flatfish,,,0.006378905,,,,,,,,,0.000593203,0.000608742,0.000775453,0.000771714,0.000238741,,,,,,,,,,,0.000657219,,0.002225011,,,,2.39E-05,,,,,,1.44E-05,,,,,,,,,,0.000145143,0.005139946,0.003697607,,,,,,,,,,,,,,,,,,0.02966323,0.000989896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other skates,,0.000840268,,,,,,,,,,,,0.001027392,0.001026681,,,,,,,,,,,,,,0.002527616,,,,,,,,,,,,,,,,,,,,0.000453136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longnose skate,,0,,,,,,,,,,,,0.001427086,0.0014261,,,,,,,,,,,,,,0.003510955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big skate,,0,,,,,,,,,,,,0.003048796,0.00304669,,,,,,,,,,,,,,0.007500731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sablefish_Juv,,0,,,,,,,,,,5.76E-05,5.91E-05,0.006941853,,,,,,,,,,,,,,,,,,,,,,,0.000800268,,,,,,,,,,,,1.41E-05,0.000395998,0.000117983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sablefish,,0.02,,,,,,,,,,0.002821657,0.002895573,,0.006954126,,,,,,,,,,,,,0.36,,,,,,,,,,,0.002585871,,,,,,,,,,0.000420919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
