Group,Transient Killers,Sperm and Beaked Whales,Resident Killers,Porpoises,Gray Whales,Humpbacks,Fin Whales,Sei whales,Right whales,Minke whales,Sea Otters,N. Fur Seal_Juv,N. Fur Seal,Steller Sea Lion_Juv,Steller Sea Lion,Resident seals,Shearwater,Murres,Kittiwakes,Auklets,Puffins,Fulmars,Storm Petrels,Cormorants,Gulls,Albatross Jaeger,Sleeper shark,Salmon shark,Dogfish,W. Pollock_Juv,W. Pollock,P. Cod_Juv,P. Cod,Herring_Juv,Herring,Arrowtooth_Juv,Arrowtooth,P. Halibut_Juv,P. Halibut,YF. Sole,FH. Sole_Juv,FH. Sole,N. Rock sole,S. Rock sole,AK Plaice,Dover Sole,Rex Sole,Misc. Flatfish,Other skates,Longnose skate,Big skate,Sablefish_Juv,Sablefish,Eelpouts,Grenadiers,Misc. fish deep,POP_Juv,POP,Sharpchin Rock,Northern Rock,Dusky Rock,Shortraker Rock,Rougheye Rock,Shortspine Thorns_Juv,Shortspine Thorns,Other Sebastes,Atka mackerel_Juv,Atka mackerel,Greenlings,Lg. Sculpins,Other sculpins,Misc. fish shallow,Octopi ,Squids,Salmon returning,Salmon outgoing,Bathylagidae,Myctophidae,Capelin,Sandlance,Eulachon,Oth. managed forage,Oth. pelagic smelt,Bairdi,King Crab,Misc. crabs,Pandalidae,NP shrimp,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Hermit crabs,Misc. Crustacean,Benthic Amphipods,Anemones,Corals,Hydroids,Urochordata,Sea Pens,Sponges,Bivalves,Polychaetes,Misc. worms ,Scyphozoid Jellies,Fish Larvae,Chaetognaths,Euphausiids,Mysids,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Pelagic microbes,Benthic microbes,Macroalgae,Lg Phytoplankton,Sm Phytoplankton,Outside Production
Salmon returning,,,0.02790388,,,0.02812312,0.01439326,0.007550979,,0.04228548,,0.0199005,0.0199005,0.1901675,0.1902059,0.04,,,,,,,,,,,0.04489999,0.396,,,,,,,,,0.02179892,,0.003225202,,,,,,,,,,,0.01784364,0.005316284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon outgoing,,,0.000558078,,,0.000562462,0.000287865,0.00015102,,0.00084571,,5.19E-05,5.33E-05,0.003803349,0.003804117,,,,,,,,,,,0.000766132,,,,,,,,,,,,,,,,,,,,,,,,0.000356873,0.000106326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathylagidae,,,0.002280453,0.001320981,,,,,,,,0.000212069,0.000217625,0.00190805,0.001898848,,0.004356947,,,,,,,0.002635971,,0.003130621,,,,,3.48E-06,,,,,,0.000140813,,,,,,,,,,,,0.00268305,0.001458277,,,,,0.02340861,0.007008185,,,,,,0.001709469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,
Myctophidae,,,0.01605104,0.009297765,,,,,,,,0.001492657,0.001531758,0.001063235,0.001065655,,0.03066651,0.001169644,0.06505688,,,,,0.01855337,,0.02203498,,,,,0.000263742,,0.000367461,,,6.09E-05,0.001663376,,,,,,,,,,,,0.000341772,0.01026413,,,0.01463924,,,,,0.01150339,,,,0.006209812,0,,0.000846625,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,
Capelin,,,0.1670605,0.09677184,,0.1683731,0.08617243,0.0452077,,0.2531631,0.05988689,0.3781095,0.3781094,0.009421309,0.009431295,0.002773389,0.416,0.2070749,0.2820259,0.03215545,0.3953166,0.03963887,0.02328437,0.1931048,0.5333229,0.2293417,,,,,0.04413334,,0.03531583,,,0.2369646,0.2192768,,0.01827659,,,0.000245554,,,,,,,0.003483439,0.1068298,0.03182859,0.00080005,0.000799165,0.000258464,,,,,,,,,,,1.53E-05,,,,,0.01230053,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,
Sandlance,,,0.06009243,0.03480928,,0.06056459,0.03099663,0.01626142,,0.09106395,0.0215416,0.3383085,0.3383084,0.04206254,0.04204559,0.007999999,0.1148103,0.0744858,0.1014461,0.01156647,0.1421972,0.01425828,0.008375497,0.4995005,0.1918387,0.08249527,,,0.0111,,0.01203307,0.02320653,0.01260565,,,0.07198457,0.03666372,0.000930958,0.02115308,,,,0.006523132,0.01146288,0.007351539,,,,0.001253009,0.03842719,0.1213333,,0.000294922,,,,,,,,,,0,,,0.01355691,,0.000227115,,0.009370399,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,
Eulachon,,,0.02667775,0.01545342,,0.02688736,0.01376081,0.007219182,,0.04042742,0.009563291,0.002480882,0.002545869,0.002351829,0.002355614,0.00044288,0.05096949,0.03306763,0.04503648,0.00513488,0.06312781,0.0063299,0.003718262,0.03083675,0.0851659,0.03662339,,,0.0365,,0.003818406,,0.001800535,,,,0.02104359,,2.42E-05,,,,,,0.000129135,,,,0.000556268,0.01705957,0.005082681,,0.003076738,,,,,,,,,,0,,,,,,,0.000009972,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,
Oth. managed forage,,,0.03394106,0.01966078,,0.03420774,0.01750734,0.009184684,,0.05143422,0.012167,0.003156328,0.00323901,0.007463787,0.007450528,0.000563459,0.06484649,0.04207065,0.05729816,0.006532907,0.08031505,0.008053285,0.0047306,0.0392324,0.1083532,0.04659451,,,,,0.005338783,0.000539743,0.01012755,,,0.001280512,0.0261432,,0.001555467,,,4.39E-05,,0.0005064,,,,,0.000707718,0.02170423,0.0064665,,4.19E-05,0.01207434,,,,0.006257531,,,,,,,0.001357884,,,,,0.05755658,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,
Oth. pelagic smelt,,,0.01326849,0.007685937,,0.01337274,0.006844097,0.003590544,,0.02010705,0.004756413,0.001233896,0.001266218,0.02099504,0.02103654,0.000220272,0.02535027,0.01644657,0.02239942,0.002553893,0.03139734,0.003148249,0.001849321,0.01533701,0.04235826,0.01821507,,,,,,,,,,,,,,,,,,,,,,,0.000276666,0.008484775,0.002527931,,,,,,,,,,,,,,,,,,,0.000342158,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,
Bairdi,,,,,0.001088896,,,,,,,,,,,4.64E-05,,,,,,,,0.000483699,,,,,0.00047323,0.000217231,0.000432506,0.004127706,0.08657052,,,,5.77E-06,,0.063579,0.000493954,0.04862949,0.01881144,0.000123655,0.004750825,0.006009948,0.003048055,0.001040818,,0.01537762,,,0.000142759,0.008433383,,,,,2.04E-05,,7.82E-05,,,1.70E-09,,0.02571111,,,,,0.04414029,0.03536522,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
