Group,B,PB,QB,Diet,Halibut HookLine,Crab Pots,Herring Fleet,Salmon Fleet,Subsistence FIshery,Flatfish Trawl,Other Groundfish Trawl,P. Cod HookLine,P. Cod Pot,P. Cod Trawl,Pollock Trawl,Rockfish Trawl,Sablefish HookLine,shrimp trawl
Misc. crabs,8,6,7,7,9,9,9,9,2,4,4,4,4,4,4,4,4,9
Pandalidae,8,5,5,7,9,9,9,9,2,4,4,9,9,4,4,4,9,1
NP shrimp,8,6,6,7,9,9,9,9,9,4,4,9,9,4,4,4,9,9
Sea stars,4,6,7,7,6,9,9,9,9,4,4,4,4,4,4,4,4,9
Brittle stars,4,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Urchins dollars cucumbers,4,6,7,7,9,9,9,9,2,4,4,4,4,4,4,4,4,9
Snails,8,6,7,7,9,9,9,9,2,9,9,9,9,9,9,9,9,9
Hermit crabs,8,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Misc. Crustacean,8,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Benthic Amphipods,8,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Anemones,3,6,7,7,9,9,9,9,9,4,4,4,4,4,4,4,4,9
Corals,2,6,7,7,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Hydroids,8,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Urochordata,5,6,7,7,9,9,9,9,9,4,4,4,4,4,4,4,4,9
Sea Pens,2,6,7,7,9,9,9,9,9,4,9,4,9,4,9,4,4,9
Sponges,3,6,7,7,9,9,9,9,9,4,9,4,4,4,4,4,4,9
Bivalves,8,6,7,7,9,9,9,9,2,9,9,9,9,9,9,9,9,9
Polychaetes,8,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Misc. worms ,8,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Scyphozoid Jellies,5,6,6,7,9,9,9,9,9,4,4,9,4,4,4,4,4,9
Fish Larvae,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Chaetognaths,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Euphausiids,8,6,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Mysids,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Pelagic Amphipods,8,6,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gelatinous filter feeders,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Pteropods,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Copepods,8,7,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Pelagic microbes,8,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Benthic microbes,8,7,7,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Macroalgae,8,7,7,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Lg Phytoplankton,6,5,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Sm Phytoplankton,6,5,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Outside Production,8,7,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Discards,8,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Offal,8,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Pelagic Detritus,8,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Benthic Detritus,8,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Outside Detritus,8,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
